page,title,description,bedrooms,bathrooms,toilets,garage,location,city,price
2,Brand New Mini Flat Upstairs,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Abijo, Olive Garden Estate, Ajah, Lagos",Ajah,650000
2,Newly Built 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,2,"Yaba, Yaba, Lagos",Yaba,1200000
3,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
3,Fully Serviced And Furnished 1 Bedroom Flat Apartment (upstairs),1 bedroom flat / apartment for rent,1,1,1,0,"Lekki Phase 1, Lekki, Lagos",Lekki,2400000
3,Fully Serviced Executive Studio Apartment,1 bedroom flat / apartment for rent,1,1,1,0,"Lekki Phase 1, Lekki, Lagos",Lekki,1500000
3,Newly Renovated 2bedroom Flat (upstairs),2 bedroom flat / apartment for rent,2,1,2,0,"Alausa, Ikeja, Lagos",Ikeja,1200000
3,Luxury 1 Bedroom (self Contain),Self contain (single rooms) for rent,0,1,1,2,"Unity Estate, Agric, Ikorodu, Lagos",Ikorodu,160000
3,Well Finished 2 Bedroom Apartment,2 bedroom flat / apartment for rent,2,2,3,0,"Lekki Phase 1, Lekki, Lagos",Lekki,3500000
3,A Brand New 5 Bedroom Detached Bungalow Available,5 bedroom flat / apartment for rent,5,5,5,0,"Richland Estate, Bogije, Ibeju Lekki, Lagos",Lekki,2500000
3,Brand New 2 Bedroom,2 bedroom flat / apartment for rent,2,2,3,0,"Mobil Road, Ajah, Lagos",Ajah,1500000
3,2 Bedroom Flat Available,2 bedroom flat / apartment for rent,2,2,2,0,"United Estate, Sangotedo, Ajah, Lagos",Ajah,1600000
3,Executive 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,3,0,"Palmgrove, Shomolu, Lagos",Shomolu,1100000
3,Luxury 4 Bedroom Apartment +bq+pool+gym+lounge Etc,4 bedroom flat / apartment for rent,4,4,5,2,"Victoria Island, Victoria Island (VI), Lagos",Victoria Island,12000000
3,2 Bedroom,2 bedroom flat / apartment for rent,2,2,3,2,"Mobile Road, Ilaje, Ajah, Lagos",Ajah,1500000
3,Fully Furnished 3 Bedroom Apartment With Skyline View,3 bedroom flat / apartment for rent,3,3,4,0,"Off Kusenla Road, Ikate Elegushi, Lekki, Lagos",Lekki,10000000
3,Luxuries 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,2,"Jubile Flat & Terrace, Abraham Adesanya Estate., Ajah, Lagos",Ajah,2000000
3,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Jubile Flat & Terrace, Abraham Adesanya Estate., Ajah, Lagos",Ajah,1700000
3,2 Bedroom,2 bedroom flat / apartment for rent,2,2,2,2,"Bluewater Sapphire Towers, Oniru, Victoria Island (VI), Lagos",Victoria Island,6500000
3,Luxury 3 Bedroom Apartment + Bq+gym+pool+lounge,3 bedroom flat / apartment for rent,3,3,4,2,"Victoria Island, Victoria Island (VI), Lagos",Victoria Island,10000000
3,Luxuries 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Kusunla Road, Ikate Elegushi, Lekki, Lagos",Lekki,10000000
3,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Abraham Adesanya Estate, Ajah, Lagos",Ajah,1700000
3,Luxury 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Phase I Axis, Lekki Phase 1, Lekki, Lagos",Lekki,4000000
3,Luxury 3 Bedrooms Apartments,3 bedroom flat / apartment for rent,3,3,4,0,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,18000000
4,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
4,Luxury 3 Bedrooms Apartments,3 bedroom flat / apartment for rent,3,3,4,0,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,18000000
4,Lovely And Spacious 2 Bedroom Flat In A Serene Environment,2 bedroom flat / apartment for rent,2,1,2,0,"Millennium Estate, Gbagada, Lagos",Gbagada,1200000
4,"Luxury 3bedroom Flat,upstairs, Very Spacious In A Serene, Secure Area",3 bedroom flat / apartment for rent,3,3,4,3,"Mobil Road, Ajah, Lagos",Ajah,1500000
4,Brand New Self-contained,Self contain (single rooms) for rent,0,1,1,0,"Idowu Estate, Oke Ira, Ajah, Lagos",Ajah,400000
4,Spacious Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Goodluck Street, Ori-oke, Ogudu, Lagos",Ogudu,600000
4,Executive 2 Bedroom Ensuite Pent House (fully Serviced) With Swimming Pool,2 bedroom flat / apartment for rent,2,1,3,0,"Lekki Phase 1, Lekki, Lagos",Lekki,3000000
4,Nicely Finished 1 Bedroom Mini Flat Serviced Apartment,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Paradise 3 Estate Chevron Drive, Lekki, Lagos",Lekki,2000000
4,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Lekki, Lagos",Lekki,2400000
4,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,3,4,"Off Alfred Rewane, Ikoyi, Lagos",Ikoyi,7000000
4,Clean Room And Parlour Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Ogombo, Ajah, Lagos",Ajah,500000
4,2bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,3,"Off Palace Road, Oniru, Victoria Island (VI), Lagos",Victoria Island,3500000
4,Ultra Luxury Waterfront 1 Bedroom Apartment +pool+gym+sauna+lounge,1 bedroom flat / apartment for rent,1,1,1,1,"Victoria Island, Victoria Island (VI), Lagos",Victoria Island,11000000
4,Luxury 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,5000000
4,Lovely 3 Bedroom Apartment With A Room Bq,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,5000000
4,Mini Flat,1 bedroom flat / apartment for rent,1,1,1,0,"Lekki Phase 1, Lekki, Lagos",Lekki,2400000
4,Luxury 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,5000000
4,Luxury 3 Bedroom Apartment With Bq,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,5000000
4,Massive And Spacious 2bedrooms,2 bedroom flat / apartment for rent,2,2,3,2,"Oniru Estate, Oniru, Victoria Island (VI), Lagos",Victoria Island,4000000
4,Premium 3 Bedroom Apartment +bq+tennis+pool Etc,3 bedroom flat / apartment for rent,3,2,3,2,"Old Ikoyi, Old Ikoyi, Ikoyi, Lagos",Ikoyi,8500000
4,Self Contain Masters,Self contain (single rooms) for rent,0,1,1,4,"Chevron Alternative By Atlantic Mall, Lekki Expressway, Lekki, Lagos",Lekki,1400000
5,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
5,2 Bedroom Flat Fully Furnished,2 bedroom flat / apartment for rent,2,2,3,2,"Off Meadow Hall School, Ikate Elegushi Lekki Lagos, Ikate Elegushi, Lekki, Lagos",Lekki,4000000
5,Fully Serviced 2 Bedroom Apartment,2 bedroom flat / apartment for rent,2,2,3,2,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Lekki,3000000
5,Self Service Spacious 2bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,2,"Off Palace Road, Oniru, Victoria Island (VI), Lagos",Victoria Island,4000000
5,Fully Furnished & Serviced Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Salem By Elevation Church, Ikate, Lekki, Lagos",Lekki,1500000
5,3 Bedroom Apartment + Swimming Pool & Gym,3 bedroom flat / apartment for rent,3,3,4,3,"Lekki Phase 1, Lekki, Lagos",Lekki,4500000
5,Luxury Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Lekki Phase 1, Lekki, Lagos",Lekki,1800000
5,18hrs Service Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Road 14 Axis, Lekki Phase 1, Lekki, Lagos",Lekki,2500000
5,Ultra Luxury Waterfront 2 Bedroom Apartment +bq+lounge+pool,2 bedroom flat / apartment for rent,2,2,3,2,"Victoria Island, Victoria Island (VI), Lagos",Victoria Island,14500000
5,Ultra Luxury 3 Bedroom Apartment + Bq+elevator Etc,3 bedroom flat / apartment for rent,3,3,4,2,"Victoria Island, Victoria Island (VI), Lagos",Victoria Island,15000000
5,Luxury & Centrally Located 3 Bedroom Apartment + Bq+gym+ Pool,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Old Ikoyi, Ikoyi, Lagos",Ikoyi,9000000
5,Luxury 4 Bedroom Apartment +bq+gym +pool Etc,4 bedroom flat / apartment for rent,4,4,5,2,"Old Ikoyi, Old Ikoyi, Ikoyi, Lagos",Ikoyi,10000000
5,Luxury One Bedroom Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Ikate Elegushi, Lekki, Lagos",Lekki,3500000
5,Executive 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,2,3,0,"Ebute Metta East, Yaba, Lagos",Yaba,1000000
5,Self Contained,Self contain (single rooms) for rent,0,1,1,1,"Kunsenla Road, Ikate Elegushi, Lekki, Lagos",Lekki,800000
5,Very Spacious 1 Bedroom Apartment,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Off Whitesand School, Lekki Phase 1, Lekki, Lagos",Lekki,2200000
5,Luxury 5 Bedroom Terrace Duplex,5 bedroom flat / apartment for rent,5,5,6,3,"Second Round About, Lekki, Lagos",Lekki,7000000
5,Massive And Spacious 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,2,"Behind Zenith Bank Head Office, Victoria Island (VI), Lagos",Victoria Island,4500000
5,Luxury 2 Bedroom Apartment,2 bedroom flat / apartment for rent,2,3,2,2,"Banana Island, Ikoyi, Lagos",Ikoyi,8000000
5,3 Bedroom Flat With A Bq,3 bedroom flat / apartment for rent,3,3,4,5,"Admiralty Way, Lekki Phase 1, Lekki, Lagos",Lekki,4500000
5,Tastefully Finished Brand New Serviced 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,4500000
6,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
6,Tastefully Finished Brand New Serviced 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,4500000
6,"2 Bedroom Apartment, Newly Built",2 bedroom flat / apartment for rent,2,2,3,2,"Yaba, Lagos",Yaba,1700000
6,Beautifully Built 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,2,3,0,"GRA Phase 1, Magodo, Lagos",Magodo,1500000
6,Self Contained,Self contain (single rooms) for rent,0,1,1,4,"Buena Vista Estate, Orchid, Lekki Expressway, Lekki, Lagos",Lekki,600000
6,Sharp Mini Flat In A Very Secured Estate,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Megamound Estate, Lekki County Homes, Lekki, Lagos",Lekki,1000000
6,Exquisite 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,4,3,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,16000000
6,Luxury 4 Bedroom Apartment,4 bedroom flat / apartment for rent,4,5,4,2,"Ikoyi, Lagos",Ikoyi,12000000
6,4 Units Of 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,3,"Ilupeju, Lagos",Ilupeju,9200000
6,Newly Built Mini Flat,1 bedroom flat / apartment for rent,1,1,1,2,"Asa Estate, Gbagada, Lagos",Gbagada,900000
6,3 Bedroom Flat Serviced With Electricity,3 bedroom flat / apartment for rent,3,4,4,0,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Lekki,4500000
6,Luxury 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,0,"Mojisola Onikoyi, Ikoyi, Lagos",Ikoyi,20000000
6,2 Bedroom Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,5,"Omole Phase 1, Ikeja, Lagos",Ikeja,1200000
6,Luxury Furnished 3 Bedroom Pent Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Off Akin Adesola, Victoria Island (VI), Lagos",Victoria Island,20000000
6,Newly Remodelled Mini Flat On The Ground Floor,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Ologolo, Lekki, Lagos",Lekki,1500000
6,A Very Clean & Compact Ensuites 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,0,"Alagomeji, Yaba, Lagos",Yaba,1300000
6,1 Single Room Shared Apartment,Self contain (single rooms) for rent,0,1,1,2,"Lekki, Lagos",Lekki,1000000
6,Brand New Very Spacious 3 Bedrooms Within A Well Guarded Estate,2 bedroom flat / apartment for rent,2,2,3,0,"Sangotedo, Ajah, Lagos",Ajah,1600000
6,4 Bedroom Maisonette With A Bq,4 bedroom flat / apartment for rent,4,4,6,3,"Ikoyi, Lagos",Ikoyi,15000000000
6,Room Self Contained,Self contain (single rooms) for rent,0,1,1,1,"Lekki Phase 1, Lekki, Lagos",Lekki,950000
6,2 Bedroom Flat,2 bedroom flat / apartment for rent,2,1,2,0,"Maryland, Lagos",Maryland,2500000
7,"Renovated Block Of City View 4 Bedroom Apartments With Bq, Tennis, Squash",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
7,4 Bedroom Maisonette With A Bq,4 bedroom flat / apartment for rent,4,4,6,3,"Ikoyi, Lagos",Ikoyi,15000000000
7,Room Self Contained,Self contain (single rooms) for rent,0,1,1,1,"Lekki Phase 1, Lekki, Lagos",Lekki,950000
7,2 Bedroom Flat,2 bedroom flat / apartment for rent,2,1,2,0,"Maryland, Lagos",Maryland,2500000
7,Serviced 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,4,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,4500000
7,Standard 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,5,"Salem, Ikate, Lekki, Lagos",Lekki,2800000
