title,description,bedrooms,bathrooms,toilets,location,city,price
Spacious 2 Bedroom & 3 Bedroom Apartment with Swimming Area,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,4500000
Newly Built 2 Bedroom Apartment with Ample Parking Space,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,3000000
Brand New Commercial Property For Rent At Falomo Ikoyi Lagos,Commercial Property,0,0,1,"Falomo Ikoyi, Falomo , Ikoyi",Ikoyi,150000
Serviced 2 bedroom fitted apartment,2 Bedroom Flat & Apartment,2,3,4,"At, Ikoyi",Ikoyi,5000000
Spacious Ground Floor 3bedrooms apartment with a room Boy's Quarter,3 Bedroom Flat & Apartment,3,3,4,"Lekki Phase 1, Lekki",Lekki,3000000
For Rent In Ikoyi : Terrace Apartment,3 Bedroom Terrace,3,4,5,"Banana Island, Ikoyi",Ikoyi,20000000
4 Bedroom Fully Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Chevy View Estate, Chevron Drive, Lekki",Lekki,4500000
350 Sqm Space/Hall,Office,0,0,1,"Lekki, Jakande, Lekki",Lekki,25000000
1 Bedroom Block Of Flat Available In Life Camp Ext. Abuja,2 Bedroom Flat & Apartment,2,2,3,"Landmark: Nafcon Junction, Life Camp, Abuja Phase 3",Abuja,1350000
4 bedroom semi detached duplex with a room BQ,4 Bedroom Duplex,4,4,5,"Orchid , Ikota, Lekki",Lekki,4000000
15+ room Office space building in a great location,Office,0,0,1,"V.I, Victoria Island",Victoria Island,24000000
4 bedroom fully detached duplex,4 Bedroom Duplex,4,4,5,"Gra, Ikota, Lekki",Lekki,4000000
4 bedroom terrace duplex,Commercial Property,0,0,1,"Osapa, Lekki",Lekki,6000000
4 bedroom semi detached duplex with a room BQ,4 Bedroom Duplex,4,4,5,"Oral Estate , Ikota, Lekki",Lekki,4000000
5 bedroom fully detached with a room bq for rent,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,13000000
Brand New Commercial Property For Rent At Victoria Island Lagos,Commercial Property,0,0,1,Victoria Island,Victoria Island,75000
Massive Event Center for let In Agungi Lekki Lagos.,Commercial Property,0,0,1,"Agungi, Lekki",Lekki,35000000
Waterfront luxurious 4 bedroom apartment,4 Bedroom Flat & Apartment,4,5,6,"Old Ikoyi , Ikoyi",Ikoyi,15000000
4 bedroom semi-detached duplex with BQ,Commercial Property,0,0,1,"Ikota, Lekki",Lekki,6000000
650 Sqm Commercial Office Space Full Building Available For Lease,Office,0,0,1,"Bank Anthony, Ikeja , Ikeja",Ikeja,28000000
4 bedroom terrace duplex with a room BQ,4 Bedroom Terrace,4,4,5,"Oniru, Victoria Island",Victoria Island,7000000
Fully Fitted 3 Bedroom Luxury Apartment,3 Bedroom Flat & Apartment,3,3,4,"Old Ikoyi, Ikoyi",Ikoyi,6000000
4 bedroom semi detached duplex,4 Bedroom Duplex,4,5,6,"Chevron Alternative , Chevron Drive, Lekki",Lekki,3500000
800 Square Meter Commercial Building Also Ideal For Church use Available For Lease,Commercial Property,0,0,1,"Adeniyi Jones, Ikeja , Ikeja",Ikeja,23000000
Brand new 4 bedroom terrace apartment with a study room,4 Bedroom Terrace,4,4,5,"Old Ikoyi, Ikoyi",Ikoyi,15000000
Captivating semi-detached 4 bedroom duplex with a great location,Office,0,0,1,"Lekki Phase 1, Lekki",Lekki,12000000
Shop to let,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,4500000
500 Sqm Commercial Office Space Full Building Available For Lease,Office,0,0,1,Victoria Island,Victoria Island,25000000
300sqm Space Ideal for Church Use & Commercial Use Or Storage Available For Lease,Commercial Property,0,0,1,"Awolowo Road Ikeja, Ikeja , Ikeja",Ikeja,5000000
Brand new 1600sqm Open Plan Office Space for let in Victoria Island Lagos.,Office,0,0,1,"Victoria Island Lagos, Victoria Island",Victoria Island,50000
Shop to let,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,3500000
Commercial Space For Rent In Victoria Island,Office,0,0,1,Victoria Island,Victoria Island,40000000
2 Bedroom Apartment With Bq,2 Bedroom Flat & Apartment,2,2,3,"Oniru Estate, Oniru, Victoria Island",Victoria Island,6500000
80 Sqm Commercial Office Space  also ideal for studio Available For Lease,Office,0,0,1,"Allen Avenue Road Ikeja, Allen Avenue, Ikeja",Ikeja,2500000
Massive 150sqm Shop Space for let in Old Ikoyi Lagos.,Shop,0,0,1,"Old Ikoyi, Ikoyi",Ikoyi,10000000
Luxury Very Spacious 3 Bedroom Flat With Bq,3 Bedroom Flat & Apartment,3,4,5,"Old Ikoyi, Ikoyi",Ikoyi,7500000
Office Space at Akobo,Office,0,0,1,"Akobo, Ibadan",Ibadan,300000
Open Plan Office Space,Office,0,0,1,"Dugbe, Ibadan",Ibadan,1000000
Premium 4 Bedroom Terraced Duplex,4 Bedroom Terrace,4,4,5,"Oniru, Victoria Island",Victoria Island,6500000
5 Bedrooms Terrace with a BQ,5 Bedroom Terrace,5,5,6,"Anifowoshe Street, Victoria Island",Victoria Island,15000000
Commercial 2200sqm for let In Victoria Island Lagos with  400sqm on Each Floor.,Office,0,0,1,"Victoria Island Lagos , Oniru, Victoria Island",Victoria Island,55000
200 to 500 sqm Commercial Office Space Available For Lease,Commercial Property,0,0,1,Victoria Island,Victoria Island,140000
Premium 4 Bedroom Terraced Duplex,4 Bedroom Duplex,4,5,6,"Mojisola Onikoyi, Ikoyi",Ikoyi,9000000
Spacious Showroom Space Available with Ample Parking Space For Lease,Office,0,0,1,"Allen Avenue, Ikeja , Ikeja",Ikeja,6000000
Shop to let,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,4500000
4 Bedroom Terrace For Rent In Ikoyi,4 Bedroom Duplex,4,4,5,"Glover Road,, Ikoyi",Ikoyi,9000000
Neatly Maintained Commercial 5 Bedroom Semi-detached Duplex For Rent In Lekki Phase 1,Commercial Property,0,0,1,"Lekki Phase 1, Lekki",Lekki,8000000
1 Bedroom Apartment in at the serene  Unity Estate Nyanya,Flat & Apartment,1,1,2,"Unity Estate, Nyanya, Abuja Phase 4",Abuja,350000
Standard Office Space 150sqm Available For Lease,Commercial Property,0,0,1,"Allen Avenue, Ikeja",Ikeja,2200000
4 Bedroom Terrace Duplex,4 Bedroom Duplex,4,4,5,"2Nd Toll Gate, Lekki Phase 2, Lekki",Lekki,3000000
Serviced 3 Bedroom Flat With Bq,3 Bedroom Flat & Apartment,3,4,5,"Lekki Right, Lekki Phase 1, Lekki",Lekki,3000000
Fully Furnished 3 Bedroom With Bq,3 Bedroom Flat & Apartment,3,4,5,"Idowu Martins Off Adeola Odekun, Victoria Island",Victoria Island,8000000
4bedroom terrace on two floors,4 Bedroom Duplex,4,4,5,"Oniru, Victoria Island",Victoria Island,125000000
"10,000 Square Feet Warehouse Available For Lease",Warehouse,0,0,1,"Acme Industrial Road, Ikeja , Ikeja",Ikeja,24000
Church Use Space Also Ideal for Club Purpose Available for lease,Commercial Property,0,0,1,"Awolowo Road Ikeja, Ikeja , Ikeja",Ikeja,6000000
4 Bedroom Semidetached Duplex,4 Bedroom Duplex,4,4,5,"Ilasan, Lekki Expressway, Lekki",Lekki,4000000
3 Bedroom Block of Flats / Apartments,3 Bedroom Flat & Apartment,3,3,4,"Maitama District, Maitama, Abuja Phase 1",Abuja,8500000
Big Warehouse For Lease,Warehouse,0,0,1,"New Garage, Ibadan",Ibadan,15000000
Massive Shop Space  for let in Ikate Lekki Lagos.,Shop,0,0,1,"Ikate , Ikate Elegushi, Lekki",Lekki,8000000
200 square meter storage unit in victoria island,Warehouse,0,0,1,"Muri Okunola, Victoria Island",Victoria Island,4000000
Shop Space For Rent In Lekki Phase 1,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,3500000
"58,000 Square Feet Warehouse for Storage",Warehouse,0,0,1,"Iyana Isolo, Cele, Isolo",Isolo,50000000
Lovely Commercial 5 Bedroom Detached House for let in Lekki Phase 1,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,10000000
Lovely 12 Units of 3 Bedroom Apartments,3 Bedroom Flat & Apartment,3,4,5,"Off Palace Road, Oniru, Oniru, Victoria Island",Victoria Island,42000000
"1,000 Square Meter Warehouse Available For storage or Church Use For Lease",Warehouse,0,0,1,"Oregun Ikeja, Oregun, Ikeja",Ikeja,13000000
A Commercial Shop on a Major Road,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,2000000
Open Plan Office Space - 200sqm - 98% Completed,Office,0,0,1,"Off Admiralty Way, Lekki Phase 1, Lekki",Lekki,65000
Open Plan Office Space ( Grade A) - 920.922 Sqm,Office,0,0,1,"Idowu Taylor/Engineering Close, Victoria Island, Victoria Island",Victoria Island,252000
Grade a Office Space - From 231 Sqm to 810 Sqm - $800/Sqm/Annum,Office,0,0,1,"Akin Adesola/Adeyemo Alakija Street , Victoria Island",Victoria Island,287000
luxury newly built all rooms ensuite 5 bedroom duplex  with a room bq,5 Bedroom Duplex,5,6,7,"Peace Gardens Estate, Sangotedo, Ajah",Ajah,2500000
Land For Lease in Bogije,Land,0,0,1,"Shapati, Ajah",Ajah,2300
Premium 2 Bedroom Apartment,2 Bedroom Flat & Apartment,2,3,4,Ikoyi,Ikoyi,4500000
Strategically located 2 bedroom apartment office,Office,0,0,1,"Cresent, Lekki Phase 1, Lekki",Lekki,2200000
300 square meters Open plan office space,Office,0,0,1,"Oniru, Victoria Island",Victoria Island,45000
Shop to let,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,3500000
74 Square space for female outfit,Shop,0,0,1,"Lekki, Lekki Phase 1, Lekki",Lekki,8800000
135 rooms hotel for lease at Port Harcourt,Hotel,0,0,1,"206 B Phase 2, Block C, Off Ordinance Road, Trans-Amadi, Port Harcourt, Nigeria, Port Harcourt",Port Harcourt,120000000
Massive Shop space now for let In Lekki Phase 1 Lagos.,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,3000000
Shop Space For Rent In Chevron,Shop,0,0,1,"Chevron, Chevron Drive, Lekki",Lekki,2500000
Bare Land For Sale,Commercial Property,0,0,1,"Ikorodu Road, Maryland Idiroko, Maryland, Ikeja",Ikeja,7000000
Grade 'B'  Commercial Office Space,Office,0,0,1,"Alfread Rewane , Falomo , Ikoyi",Ikoyi,100000
"34,000 Square Feet Warehouse",Warehouse,0,0,1,"Oba Akran, Ogba, Ikeja",Ikeja,22000
10 Units of Office Mall for Rent,Office,0,0,1,"Area 11, Garki, Abuja Phase 1",Abuja,40000000
3 FLOORS OF 17 UNITS OF 400sqm OFFICE SPACE AT MISICIPI MAITAMA,Office,0,0,1,"Misicipi Maitama, Maitama, Abuja Phase 1",Abuja,50000
Grade A Office Space In  Ikoyi - $650/Sqm/Annum,Office,0,0,1,"Temple Road/ Alfred Rewani Road, Ikoyi, Ikoyi",Ikoyi,234000
Newly Finish 2 Bedrooms Flat Plus a Room Bq,2 Bedroom Flat & Apartment,2,2,3,"Eleganza Gardens Opposite Vgc , Lekki Expressway, Lekki",Lekki,2500000
Newly Built 4 Bedroom Semi- Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Inside Chevy View Estate, Chevron Drive, Lekki",Lekki,5500000
3 Bedroom Semi-Detached Duplex + Bq,3 Bedroom Duplex,3,4,5,"Chevron Drive, Lekki",Lekki,4500000
Tastefully Finished 5 Bedroom Fully Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Chevron Drive, Lekki",Lekki,6000000
Brand New 4 Bedroom Fully Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Chevron Drive, Lekki",Lekki,5000000
Tastefully Finished 5 Bedroom Fully Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Chevron Drive, Lekki",Lekki,6000000
Brand New 5 Bedroom Fully Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Chevron Drive, Lekki",Lekki,5500000
Tastefully Finished 4 Bedroom Terraced Duplex,4 Bedroom Duplex,4,5,6,"Chevron Drive, Lekki",Lekki,3500000
3 Bedroom Terraced Duplex + Bq,3 Bedroom Terrace,3,4,5,"Inside Vgc, Victoria Garden City, Lekki",Lekki,3500000
Very Spacious 4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Oniru, Victoria Island",Victoria Island,6000000
5 Bedroom Fully Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Inside Vgc, Victoria Garden City, Lekki",Lekki,8000000
Spacious 6 Bedroom Fully Detached Duplex with Separated Mini Flat,6 Bedroom Duplex,6,7,8,"Inside Vgc, Victoria Garden City, Lekki",Lekki,7000000
Spacious 6 Bedroom Fully Detached Duplex + Separated Bq Behind,5 Bedroom Duplex,5,6,7,"Inside Vgc, Victoria Garden City, Lekki",Lekki,7000000
3 bed terraces,3 Bedroom Flat & Apartment,3,4,5,"At, Ikoyi",Ikoyi,8000000
Luxury 3 Bedroom flat With Excellent Facilities For Rent In Old Ikoyi.,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi Lagos, Ikoyi",Ikoyi,11000000
Massive 5 Bedroom Detached Duplex For Rent At Lekki Phase 1 Lagos,5 Bedroom House,5,5,6,"Lekki Phase 1, Lekki",Lekki,12000000
Nice and Modern 3 Bedroom Apartment,3 Bedroom Flat & Apartment,3,3,4,"Banana Island, Ikoyi",Ikoyi,23000000
4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Chevron, Chevron Drive, Lekki",Lekki,3800000
4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Chevron, Chevron Drive, Lekki",Lekki,5000000
2 bedroom fully serviced apartment,2 Bedroom Duplex,2,2,3,"Orchid , Ikota, Lekki",Lekki,2500000
4 Bedroom Fully Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Chevy View Estate, Chevron Drive, Lekki",Lekki,7000000
4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Orchid Road, Lekki Phase 1, Lekki",Lekki,4500000
4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Orchid Road, Lekki Phase 1, Lekki",Lekki,5500000
4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Orchid Road, Lekki Phase 1, Lekki",Lekki,5000000
For Rent In IKoyi,3 Bedroom Flat & Apartment,3,4,5,Ikoyi,Ikoyi,8000000
"3 bedroom apartment with swimming pool, gym and elevator",3 Bedroom Flat & Apartment,3,4,5,"Old Ikoyi , Ikoyi",Ikoyi,7000000
Newly Build 5 Bedroom Fully Detached Duplex+Bq  Prime for Commercial,Commercial Property,0,0,1,"Orchid Road, Lekki Phase 2, Lekki",Lekki,8000000
5 Bedroom Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Osapa London, Osapa, Lekki",Lekki,5500000
5 Bedroom Fully Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Chevy View Estate, Chevron Drive, Lekki",Lekki,5500000
4 Bedroom Semi-Detached Duplex +Bq,4 Bedroom Duplex,4,5,6,"Chevy View Estate, Chevron Drive, Lekki",Lekki,5000000
4 Bedroom Semi-Detached Duplex +Bq,4 Bedroom Duplex,4,5,6,"Chevy View Estate, Chevron Drive, Lekki",Lekki,3500000
"4 bedroom penthouse with swimming pool, gym and elevator",4 Bedroom Flat & Apartment,4,5,6,"Old Ikoyi , Ikoyi",Ikoyi,12000000
Spacious 3 Bedroom Apartment,3 Bedroom Flat & Apartment,3,3,4,"Old Ikoyi, Ikoyi",Ikoyi,7000000
4 Bedroom Terraced Duplex + Bq + Swimming Pool,4 Bedroom Terrace,4,5,6,"Ikate, Ikate Elegushi, Lekki",Lekki,5000000
Well maintained 3 bedroom flat with 2 sitting room and a staff room,3 Bedroom Flat & Apartment,3,4,5,"Glover Road , Ikoyi",Ikoyi,8000000
3 Bedroom Flat,3 Bedroom Flat & Apartment,3,4,5,"Ikate, Ikate Elegushi, Lekki",Lekki,3500000
5 Bedroom Fully Detached Duplex + Bq,5 Bedroom Duplex,5,6,7,"Ikate, Ikate Elegushi, Lekki",Lekki,10500000
Office Space For Let,Office,0,0,1,"Lekki Phase 1, Lekki",Lekki,16380000
Nice and Neat 4 Bedroom Apartment,4 Bedroom Flat & Apartment,4,4,5,Ikoyi,Ikoyi,10000000
Luxury 2 Bedroom Flat on the Pent Floor in a Gated Estate,2 Bedroom Duplex,2,3,4,"Lekki County Homes, Lekki Phase 2, Lekki",Lekki,2000000
"Available for sale is this Affordable 4 bedroom terraced duplex with Bq, 24hrs Power Spacious Car Park in a Gated mini E",3 Bedroom Flat & Apartment,3,4,5,Victoria Island,Victoria Island,8000000
Affordable 2 Bedroom Apartment,2 Bedroom Flat & Apartment,2,2,3,"Old Ikoyi, Ikoyi",Ikoyi,6000000
Luxurious Waterfront Highrise Apartments Of Three(3) Bedrooms,3 Bedroom Flat & Apartment,3,4,5,"Banana Island, Ikoyi",Ikoyi,17000000
"4 bedroom terrace duplex with 2 sitting room, bq, pool and gym",4 Bedroom Terrace,4,5,6,"Banana Island Road , Ikoyi",Ikoyi,10000000
5 Bedroom Semi Detached Duplex with Bq,5 Bedroom Duplex,5,6,7,"Lekki County Homes, Lekki Phase 2, Lekki",Lekki,4500000
Executive 3 bedroom apartment,3 Bedroom Flat & Apartment,3,4,5,"Off Adeola Odeku , Victoria Island",Victoria Island,15000000
Serviced Executive 3 bedroom apartments,3 Bedroom Flat & Apartment,3,4,5,"Off Ozumba Mbadiwe Express Way , Victoria Island",Victoria Island,14000000
4 bedroom duplex with a bq,4 Bedroom Duplex,4,5,6,"Royal Palm Drive, Osborne Phase 2, Ikoyi",Ikoyi,7000000
2 Bedroom Flat + 24hrs Electricity,2 Bedroom Flat & Apartment,2,3,4,"Ikate, Ikate Elegushi, Lekki",Lekki,3000000
Serviced Executive 4 bedroom apartment,4 Bedroom Flat & Apartment,4,5,6,"Off Ozumba Mbadiwe Express Way , Victoria Island",Victoria Island,16000000
Nice 3 Bedroom Flat in an Upscale Location,3 Bedroom Flat & Apartment,3,3,4,Ikoyi,Ikoyi,10000000
Executive 4 bedroom apartment,4 Bedroom Flat & Apartment,4,5,6,"Off Adeola Odeku , Victoria Island",Victoria Island,18000000
4 Bedroom Semi-detached Duplex For Rent In Orchid.,4 Bedroom Duplex,4,4,5,"Orchid, Ikota, Lekki",Lekki,4500000
Upscale 4 Bedroom Maisonette,4 Bedroom Duplex,4,4,5,"Ikoyi, Banana Island, Ikoyi",Ikoyi,16000000
Cozy 3 Bedroom Apartment,3 Bedroom Flat & Apartment,3,3,4,"Banana Island, Ikoyi",Ikoyi,15000000
Furnished luxurious high rise 3 bedroom apartment,3 Bedroom Flat & Apartment,3,4,5,"Vi, Victoria Island",Victoria Island,15000000
Luxury 3 Bedroom Flat For Rent In Lekki Phase 1,3 Bedroom Flat & Apartment,3,3,4,"Lekki Phase 1, Lekki",Lekki,6000000
4 Bedroom Semi-Detached Duplex + Bq,4 Bedroom Duplex,4,5,6,"Orchid Road, Lekki Expressway, Lekki",Lekki,5000000
Cozy 4 Bedroom Pent House,4 Bedroom Flat & Apartment,4,4,5,"Banana Island, Ikoyi",Ikoyi,20000000
4 bed room fully detached duplex,4 Bedroom Duplex,4,4,5,"Oral Estate , Ikota, Lekki",Lekki,4000000
Luxurious Waterfront 3 Bedroom Apartment,3 Bedroom Flat & Apartment,3,3,4,"Old, Ikoyi",Ikoyi,12500000
4 Bedroom Penthouse Style Apartment With 2 Living Room,4 Bedroom House,4,4,5,Ikoyi,Ikoyi,18000000
Spacious 4 Bedroom Terrace With Bq,4 Bedroom Duplex,4,5,6,"Old Ikoyi, Ikoyi",Ikoyi,6500000
Newly Built 2 Bedroom Flat With Bq,2 Bedroom Flat & Apartment,2,3,4,"Lekki Phase 1, Lekki",Lekki,2500000
8 Units 3 Bedroom Luxury Apartment,3 Bedroom Flat & Apartment,3,3,4,"V.I., Victoria Island",Victoria Island,6000000
"4 bedroom fully fitted apartment with a bq, gym and swimming pool",4 Bedroom Flat & Apartment,4,4,5,"Old, Ikoyi",Ikoyi,8000000
Premium Commercial Property,Commercial Property,0,0,1,"Lekki, Lekki Phase 1, Lekki",Lekki,120000
Newly Built 3 Bedroom Detached House With Bq,3 Bedroom Duplex,3,4,5,"Lekki Phase 1, Lekki",Lekki,5500000
Furnished luxurious high rise 5 bedroom penthouse,5 Bedroom Flat & Apartment,5,6,7,"Vi, Victoria Island",Victoria Island,25000000
Brand New 4 Bedroom Flat,4 Bedroom Flat & Apartment,4,4,5,"Old Ikoyi , Ikoyi",Ikoyi,10000000
Newly Built 5 Units 4 Bedroom Terrace House,4 Bedroom Terrace,4,4,5,"Old Ikoyi, Ikoyi",Ikoyi,9000000
5 Bedroom Terrace Duplex With Bq,5 Bedroom Duplex,5,6,7,Ikoyi,Ikoyi,8000000
3 Bedroom Flat With Bq,3 Bedroom Flat & Apartment,3,4,5,"Lekki Phase 1, Lekki",Lekki,3000000
5 bedroom fully detached duplex with a room BQ,5 Bedroom Duplex,5,5,6,"Westerneend Estate , Ikota, Lekki",Lekki,4500000
Serviced 4 bedrooms terrace with BQ,4 Bedroom Duplex,4,5,6,Ikoyi,Ikoyi,8500000
Classic 3 Bedroom Apartment For Rent,3 Bedroom Flat & Apartment,3,3,4,"Banana Island, Ikoyi",Ikoyi,5000000
Luxury 4 Bedroom Terrace Duplex With Bq,4 Bedroom Duplex,4,5,6,"Lekki Phase 1, Lekki",Lekki,4500000
Lovely 4 Bedroom Pent House,4 Bedroom Flat & Apartment,4,4,5,"Banana Island, Ikoyi",Ikoyi,30000000
Upscale 4 Bedroom Water Side Apartment,4 Bedroom Flat & Apartment,4,4,5,Ikoyi,Ikoyi,40000000
6 Units of 3 Bedroom Apartment for Lease,3 Bedroom Flat & Apartment,3,3,4,"Wuye, Abuja Phase 2",Abuja,18000000
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Duplex,4,5,6,"Chevy View Estate, Chevron Drive, Lekki",Lekki,3500000
Three Bedroom Flat with Bq,3 Bedroom Flat & Apartment,3,4,5,"Off Palace Road, Oniru, Victoria Island",Victoria Island,4500000
5 Bedroom Terrace Duplex With Bq,5 Bedroom Terrace,5,5,6,"Ikate, Ikate Elegushi, Lekki",Lekki,5000000
12 units 5 bedroom terrace townhouses with swimming pool,5 Bedroom Townhouse,5,6,7,"Bourdillon , Ikoyi",Ikoyi,15000000
"Newly built 4 Bedroom detached terrace house, with a room servants quarters",4 Bedroom Terrace,4,4,5,"Remi Fani Kayode Street,  Ikeja G.R.A, Ikeja",Ikeja,8000000
3 bedrooms flat with BQ,3 Bedroom Flat & Apartment,3,4,5,"Lekki Phase 1, Lekki",Lekki,3000000
Lovely 3 Bedroom Flat,3 Bedroom Flat & Apartment,3,3,4,"Oniru Estate, Oniru, Victoria Island",Victoria Island,3500000
2 Bedroom Flat + 24hrs Electricity,2 Bedroom Flat & Apartment,2,3,4,"Ikate, Ikate Elegushi, Lekki",Lekki,3000000
4 Bedroom Detached Duplex With Bq,4 Bedroom Duplex,4,5,6,"Ikota Villa Estate, Ikota, Lekki",Lekki,3200000
Well Maintained 3 Bedroom Flat,3 Bedroom Flat & Apartment,3,3,4,"Lekki Right , Lekki Phase 1, Lekki",Lekki,3000000
Three Bedroom Apartment with Bq,3 Bedroom Flat & Apartment,3,4,5,"Off Palace Road, Oniru, Victoria Island",Victoria Island,3500000
Three Bedroom Apartment in an Estate,3 Bedroom Flat & Apartment,3,3,4,"Off Palace Road, Oniru, Victoria Island",Victoria Island,3500000
Newly Built 3 Bedroom Apartments In Ikoyi,3 Bedroom Flat & Apartment,3,3,4,"Off Banana Island Road,, Ikoyi",Ikoyi,6500000
"One block of open office space of approximately 1,600 square meters",Office,0,0,1,"Off Sanusi Fafuwa Street, Victoria Island",Victoria Island,55000
Furnished 4 Bedroom Apartment,4 Bedroom Flat & Apartment,4,4,5,"Old, Ikoyi",Ikoyi,10000000
A Superb 3 Bedroom Flat,3 Bedroom Flat & Apartment,3,4,5,"Off Queen Drive, Ikoyi",Ikoyi,15000000
Newly built 6 detached house with BQ,6 Bedroom Duplex,6,7,8,"Banana Island, Ikoyi",Ikoyi,50000000
2 units newly built serviced  4 & 3 bedroom duplex with 1 Room BQ at Lekki Phase One,3 Bedroom Duplex,3,3,4,"Lekki Phase One, Lekki Phase 1, Lekki",Lekki,4000000
Shop Space For Rent In Lekki Phase 1,Shop,0,0,1,"Lekki Phase 1, Lekki",Lekki,3000000
Super Luxury 3 Bedroom Apartment,3 Bedroom Flat & Apartment,3,3,4,"Queen Drive, Ikoyi",Ikoyi,13000000
4 Bedroom Semi-Detached Duplex,4 Bedroom Flat & Apartment,4,4,5,"Off Bourdilon Road, Ikoyi",Ikoyi,12000000
3650m2 grade a office space with 2 lifts,Office,0,0,1,"Old, Ikoyi",Ikoyi,2200000
Office Space For Rent,Office,0,0,1,Victoria Island,Victoria Island,6500000
Premium 3 Bedroom Highrise Apartment,4 Bedroom Flat & Apartment,4,3,4,Victoria Island,Victoria Island,25000000
Newly built serviced 4 bedroom terrace with 1 Room BQ at Lekki Phase one,4 Bedroom Terrace,4,4,5,"Lekki Phase 1, Lekki",Lekki,4000000
Luxury serviced 4 bedrooms terrace with BQ,4 Bedroom Duplex,4,5,6,Ikoyi,Ikoyi,10000000
Newly built 4 bedrooms semi detached with BQ,4 Bedroom Duplex,4,5,6,"Banana Island, Ikoyi",Ikoyi,20000000
Newly Built 3 Bedroom Semi Detached Duplex,3 Bedroom Duplex,3,3,4,"Phase 1, Lekki Phase 1, Lekki",Lekki,4000000
Fully Furnished 3 Bedroom Apartment For Rent,3 Bedroom Flat & Apartment,3,3,4,"Old, Ikoyi",Ikoyi,10000000
Commercial Lease,Commercial Property,0,0,1,"Ijesha Road, Ijeshatedo, Surulere",Surulere,3000000
Fully Furnished 3 Bedroom Flat For Rent,3 Bedroom Flat & Apartment,3,3,4,"Old, Ikoyi",Ikoyi,9000000
2 Bedroom Serviced Furnished Apartment with  Bq,2 Bedroom Flat & Apartment,2,2,3,Ikoyi,Ikoyi,3500000
4 Bedroom Duplex With Bq,4 Bedroom Duplex,4,5,6,"Ilasan, Romay Garden, Lekki Expressway, Lekki",Lekki,5000000
Highrise 3 Bedroom Apartment,4 Bedroom Flat & Apartment,4,4,5,"Vi, Victoria Island",Victoria Island,18000000
Upscale 4 Bedroom Penthouse,4 Bedroom Flat & Apartment,4,4,5,Ikoyi,Ikoyi,11000000
Fully Furnished 3 Bedroom Apartment For Rent,3 Bedroom Flat & Apartment,3,3,4,"Oba Elegushi Street,, Ikoyi",Ikoyi,9000000
Upscale 2 Bedroom Apartment,2 Bedroom Flat & Apartment,2,2,3,Ikoyi,Ikoyi,8000000
4 Bedroom Townhouse For Rent,4 Bedroom Duplex,4,4,5,"Off Banana Island Road,, Ikoyi",Ikoyi,8000000
Detached House For Rent In Ikoyi,5 Bedroom Duplex,5,5,6,"Norman Williams Street,, Falomo , Ikoyi",Ikoyi,7000000
Luxury 5 bedroom pent house with 1 Room BQ at Ikoyi,5 Bedroom Townhouse,5,5,6,"Alexander Way, Ikoyi",Ikoyi,14000000
Lovely 2 Bedroom Flat And Apartments,2 Bedroom Flat & Apartment,2,2,3,"Lekki, Lekki Phase 1, Lekki",Lekki,3000000
A Luxury 2 Bedroom Pent House And 4 Bedroom Flat,6 Bedroom Flat & Apartment,6,6,7,Ikoyi,Ikoyi,18000000
A Classic Newly Built 4 Bedroom Semi Detached,4 Bedroom Duplex,4,4,5,"Chevron Estate, Chevron Drive, Lekki",Lekki,3800000
Luxurious 4 bedroom Apartment,4 Bedroom Flat & Apartment,4,5,6,"Banana Island, Ikoyi",Ikoyi,12000000
