iter	RMSE
627	1422181.618
628	1422169.155
629	1422056.857
630	1422021.214
631	1421917.45
632	1421876.229
633	1421832.908
634	1421820.084
635	1421779.587
636	1421734.416
637	1421683.088
638	1421648.279
639	1421627.219
640	1421615.455
641	1421441.178
642	1421206.273
643	1421166.052
644	1421103.805
645	1421059.102
646	1421045.507
647	1421026.972
648	1420879.063
649	1420846.188
650	1420806.006
651	1420752.326
652	1420557.231
653	1420495.128
654	1420473.164
655	1420405.923
656	1420366.448
657	1420119.156
658	1420051.862
659	1419914.061
660	1419764.747
661	1419727.54
662	1419702.141
663	1419691.376
664	1419548.322
665	1419454.119
666	1419432.651
667	1419401.486
668	1419339.112
669	1419208.737
670	1419137.025
671	1419053.087
672	1419041.144
673	1419017.72
674	1418907.816
675	1418880.261
676	1418757.98
677	1418689.197
678	1418586.442
679	1418482.361
680	1418250.99
681	1418241.131
682	1418031.457
683	1417758.685
684	1417730.436
685	1417715.679
686	1417627.527
687	1417475.208
688	1417449.054
689	1417374.263
690	1417288.061
691	1417221.445
692	1417208.837
693	1417159.233
694	1417145.299
695	1417084.492
696	1417074.79
697	1417059.616
698	1417038.714
699	1417006.571
700	1416995.942
701	1416777.227
702	1416742.108
703	1416666.495
704	1416644.155
705	1416593.364
706	1416550.711
707	1416506.002
708	1416369.085
709	1416313.727
710	1416276.805
711	1416254.52
712	1416073.707
713	1415930.978
714	1415901.921
715	1415853.274
716	1415840.095
717	1415786.285
718	1415679.882
719	1415472.321
720	1415431.426
721	1415364.878
722	1415311.139
723	1415295.662
724	1415283.885
725	1415173.435
726	1415125.397
727	1415076.901
728	1415040.158
729	1414801.887
730	1414735.776
731	1414638.473
732	1414629.624
733	1414618.653
734	1414376.743
735	1414308.944
736	1414204.193
737	1414061.157
738	1414009.318
739	1413937.218
740	1413823.258
741	1413777.642
742	1413634.452
743	1413523.052
744	1413512.939
745	1413479.438
746	1413417.515
747	1413358.263
748	1413264.687
749	1413224.084
750	1413077.63
751	1413002.65
752	1412926.122
753	1412913.595
754	1412786.007
755	1412747.747
756	1412695.361
757	1412684.195
758	1412594.786
759	1412563.476
760	1412427.33
761	1412329.916
762	1412316.197
763	1412307.251
764	1412299.796
765	1412213.488
766	1412113.426
767	1412105.119
768	1412097.281
769	1412017.736
770	1411987.224
771	1411950.293
772	1411927.001
773	1411882.505
774	1411738.247
775	1411535.24
776	1411423.293
777	1411313.925
778	1411306.861
779	1411240.329
780	1411126.947
781	1411046.565
782	1411039.741
783	1411001.467
784	1410961.054
785	1410839.001
786	1410820.009
787	1410713.612
788	1410664.807
789	1410551.984
790	1410457.046
791	1410434.789
792	1410199.439
793	1410180.168
794	1410093.105
795	1409899.209
796	1409766.485
797	1409652.043
798	1409609.593
799	1409601.054
800	1409594.007
801	1409508.726
802	1409424.901
803	1409395.4
804	1409353.487
805	1409347.043
806	1409340.252
807	1409269.397
808	1409210.508
809	1409141.051
810	1409095.004
811	1409074.937
812	1408939.868
813	1408888.504
814	1408852.729
815	1408765.254
816	1408727.487
817	1408623.113
818	1408445.479
819	1408373.459
820	1408187.988
821	1408021.653
822	1407912.743
823	1407868.674
824	1407773.788
825	1407691.34
826	1407646.219
827	1407611.852
828	1407557.059
829	1407452.04
830	1407245.549
831	1407193.06
832	1407139.438
833	1407105.838
834	1407030.329
835	1406945.88
836	1406853.12
837	1406807.259
838	1406800.862
839	1406795.025
840	1406764.411
841	1406583.757
842	1406439.999
843	1406339.89
844	1406128.289
845	1406063.218
846	1406021.987
847	1406016.475
848	1405915.865
849	1405818.953
850	1405704.5
851	1405644.32
852	1405634.966
853	1405389.943
854	1405320.556
855	1405250.566
856	1405113.325
857	1405046.206
858	1404977.451
859	1404920.733
860	1404841.385
861	1404649.843
862	1404588.845
863	1404481.448
864	1404321.067
865	1404179.506
866	1404057.969
867	1404006.912
868	1403950.225
869	1403935.26
870	1403823.425
871	1403710.03
872	1403704.04
873	1403662.258
874	1403608.986
875	1403567.822
876	1403478.88
877	1403344.133
878	1403187.518
879	1403159.004
880	1403118.22
881	1402951.771
882	1402926.197
883	1402827.441
884	1402715.72
885	1402631.757
886	1402502.45
887	1402443.699
888	1402300.914
889	1402295.271
890	1402224.131
891	1402107.367
892	1402020.392
893	1401940.957
894	1401790.577
895	1401733.001
896	1401672.616
897	1401621.929
898	1401571.939
899	1401515.597
900	1401494.086
901	1401349.792
902	1401324.654
903	1401167.094
904	1401106.029
905	1401100.306
906	1400993.342
907	1400974.371
908	1400720.065
909	1400704.845
910	1400690.07
911	1400562.431
912	1400557.054
913	1400542.692
914	1400518.53
915	1400498.388
916	1400434.326
917	1400429.988
918	1400350.363
919	1400249.485
920	1400198.851
921	1400162.351
922	1400045.065
923	1400040.848
924	1400012.608
925	1399901.687
926	1399827.045
927	1399760.387
928	1399688.742
929	1399636.263
930	1399558.98
931	1399440.163
932	1399420.209
933	1399329.45
934	1399186.172
935	1399102.255
936	1398868.547
937	1398852.95
938	1398753.394
939	1398612.627
940	1398483.291
941	1398363.149
942	1398287.527
943	1398101.752
944	1397980.452
945	1397875.275
946	1397757.631
947	1397691.905
948	1397681.473
949	1397562.062
950	1397490.238
951	1397418.333
952	1397406.199
953	1397347.337
954	1397343.536
955	1397285.123
956	1397232.517
957	1397094.679
958	1396987.685
959	1396942.435
960	1396821.407
961	1396726.699
962	1396669.359
963	1396585.182
964	1396451.094
965	1396419.907
966	1396413.205
967	1396314.032
968	1396308.127
969	1396250.587
970	1396096.466
971	1396030.331
972	1395970.651
973	1395795.983
974	1395688.566
975	1395642.567
976	1395633.148
977	1395509.765
978	1395492.281
979	1395412.501
980	1395351.669
981	1395328.774
982	1395257.705
983	1395156.217
984	1395000.81
985	1394886.391
986	1394818.358
987	1394702.782
988	1394615.153
989	1394493.835
990	1394489.938
991	1394441.058
992	1394413.073
993	1394293.232
994	1394220.662
995	1394170.112
996	1394063.132
997	1394020.708
998	1393962.448
999	1393958.676
